S0,K,T,P_mkt,iv_market
660.08,655.0,0.33,23.05,0.1757742335510254
660.08,660.0,0.33,25.68,0.17076177146911622
660.08,665.0,0.33,27.8,0.16571879211425783
660.08,670.0,0.33,29.63,0.1607444766235352
660.08,675.0,0.33,32.04,0.1557701611328125
660.08,680.0,0.33,34.57,0.1609886148071289
660.08,685.0,0.33,36.05,0.15734180068969728
660.08,690.0,0.33,36.6,0.15351188293457033
660.08,695.0,0.33,44.02,0.1490411024475098
660.08,700.0,0.33,46.37,0.14463135650634767
660.08,705.0,0.33,48.96,0.14153385330200197
660.08,710.0,0.33,49.01,0.13910773010253907
660.08,715.0,0.33,55.21,0.13672738281250002
660.08,720.0,0.33,59.87,0.13510996734619146
660.08,725.0,0.33,57.41,0.135048932800293
660.08,730.0,0.33,70.57,0.1349268637084961
660.08,735.0,0.33,69.38,0.13697152099609378
660.08,740.0,0.33,61.64,0.14130497375488282
660.08,745.0,0.33,73.0,0.14661497924804687
660.08,750.0,0.33,75.27,0.152626882019043
660.08,800.0,0.33,130.86,0.20822935333251946
660.08,810.0,0.33,123.09,0.21854419158935545
660.08,830.0,0.33,235.15,0.7014037428283693
660.08,840.0,0.33,240.24,1.0000000000000003e-05
660.08,845.0,0.33,185.89,1.0000000000000003e-05
660.08,850.0,0.33,191.25,1.0000000000000003e-05
660.08,435.0,0.44,2.8,0.3784852191162109
660.08,440.0,0.44,2.74,0.37293107543945314
660.08,445.0,0.44,2.84,0.36749900085449216
660.08,450.0,0.44,3.04,0.3619448571777344
660.08,460.0,0.44,2.92,0.3515079498291015
660.08,465.0,0.44,3.8,0.3462589788818359
660.08,470.0,0.44,3.98,0.34113207702636716
660.08,475.0,0.44,4.22,0.3360662097167969
660.08,480.0,0.44,4.38,0.3312139633178711
660.08,485.0,0.44,4.45,0.32617861328125
660.08,490.0,0.44,4.25,0.3213568841552734
660.08,495.0,0.44,3.31,0.31653515502929686
660.08,500.0,0.44,5.08,0.31168290863037107
660.08,505.0,0.44,4.2,0.3069832485961914
660.08,510.0,0.44,5.48,0.3023751403808594
660.08,515.0,0.44,6.02,0.2978585839843749
660.08,520.0,0.44,6.09,0.29325047576904284
660.08,525.0,0.44,6.07,0.2886881434631347
660.08,530.0,0.44,6.38,0.2841563284301757
660.08,535.0,0.44,6.8,0.2796397720336914
660.08,540.0,0.44,7.35,0.2752452847290039
660.08,545.0,0.44,5.42,0.27082028015136717
660.08,550.0,0.44,8.01,0.2664563101196289
660.08,555.0,0.44,8.65,0.26215337463378907
660.08,560.0,0.44,9.15,0.25785043914794925
660.08,565.0,0.44,9.74,0.25354750366210943
660.08,570.0,0.44,10.65,0.24922930953979489
660.08,575.0,0.44,10.46,0.2449721499633789
660.08,580.0,0.44,12.33,0.24071499038696287
660.08,585.0,0.44,12.4,0.23639679626464843
660.08,590.0,0.44,12.42,0.2321396366882324
660.08,595.0,0.44,14.68,0.22782144256591796
660.08,600.0,0.44,14.85,0.22345747253417966
660.08,605.0,0.44,15.44,0.2191392784118652
660.08,610.0,0.44,16.28,0.21469901519775392
660.08,612.0,0.44,13.73,0.21292901336669923
660.08,613.0,0.44,15.39,0.21201349517822266
660.08,614.0,0.44,12.55,0.21115901153564448
660.08,615.0,0.44,16.52,0.2102740106201172
660.08,616.0,0.44,14.7,0.20938138038635248
660.08,617.0,0.44,16.6,0.20847349151611322
660.08,618.0,0.44,19.26,0.20760374923706054
660.08,619.0,0.44,18.59,0.20665771377563474
660.08,620.0,0.44,18.05,0.20581848876953124
660.08,621.0,0.44,17.99,0.20490297058105467
660.08,622.0,0.44,13.98,0.20397219375610348
660.08,623.0,0.44,16.08,0.20307193420410152
660.08,624.0,0.44,14.03,0.20217167465209956
660.08,625.0,0.44,19.12,0.20124089782714843
660.08,626.0,0.44,18.6,0.2003558969116211
660.08,627.0,0.44,17.86,0.19945563735961913
660.08,628.0,0.44,15.75,0.19854011917114256
660.08,630.0,0.44,20.08,0.1967014534759521
660.08,631.0,0.44,15.72,0.1957783059692383
660.08,633.0,0.44,20.02,0.1939472695922852
660.08,635.0,0.44,20.82,0.19210097457885744
660.08,636.0,0.44,15.15,0.19120071502685548
660.08,637.0,0.44,15.84,0.19022416229248051
660.08,638.0,0.44,22.03,0.18933916137695314
660.08,639.0,0.44,21.12,0.1883778672790527
660.08,640.0,0.44,21.71,0.18746234909057619
660.08,641.0,0.44,16.25,0.18657734817504884
660.08,642.0,0.44,16.57,0.18566182998657227
660.08,643.0,0.44,20.12,0.18473105316162108
660.08,644.0,0.44,16.7,0.18377738838195798
660.08,645.0,0.44,23.38,0.1828542408752441
660.08,646.0,0.44,23.84,0.18191583473205566
660.08,647.0,0.44,24.05,0.1810079458618164
660.08,648.0,0.44,23.76,0.18007716903686521
660.08,649.0,0.44,22.43,0.17917690948486326
660.08,650.0,0.44,25.2,0.17825376197814943
660.08,651.0,0.44,25.37,0.17736113174438478
660.08,652.0,0.44,25.47,0.1764456135559082
660.08,653.0,0.44,25.78,0.1754995780944824
660.08,654.0,0.44,27.61,0.1745916892242432
660.08,655.0,0.44,26.37,0.17371431762695314
660.08,656.0,0.44,27.93,0.1727987994384766
660.08,657.0,0.44,27.25,0.1718680226135254
660.08,658.0,0.44,27.36,0.17096776306152345
660.08,659.0,0.44,29.33,0.170029356918335
660.08,660.0,0.44,28.13,0.16912146804809575
660.08,661.0,0.44,28.68,0.16819069122314456
660.08,662.0,0.44,28.68,0.1672904316711426
660.08,663.0,0.44,29.6,0.16640543075561526
660.08,664.0,0.44,29.31,0.165497541885376
660.08,665.0,0.44,29.82,0.1645591357421875
660.08,666.0,0.44,30.85,0.16364361755371098
660.08,667.0,0.44,31.01,0.16275861663818358
660.08,668.0,0.44,30.96,0.1618354691314697
660.08,669.0,0.44,31.31,0.1609428388977051
660.08,670.0,0.44,31.81,0.16007309661865232
660.08,671.0,0.44,32.23,0.1591652077484131
660.08,672.0,0.44,32.5,0.15822680160522462
660.08,673.0,0.44,32.93,0.15731128341674805
660.08,674.0,0.44,33.91,0.1564110238647461
660.08,675.0,0.44,36.5,0.1554878763580322
660.08,676.0,0.44,37.37,0.154579987487793
660.08,677.0,0.44,34.46,0.15369498657226563
660.08,678.0,0.44,38.63,0.15282524429321293
660.08,679.0,0.44,35.2,0.15192498474121097
660.08,680.0,0.44,35.86,0.15098657859802253
660.08,681.0,0.44,36.32,0.15912706115722658
660.08,682.0,0.44,36.75,0.1581962843322754
660.08,683.0,0.44,36.98,0.15818102569580078
660.08,684.0,0.44,33.31,0.1568916709136963
660.08,685.0,0.44,39.39,0.15520559158325198
660.08,686.0,0.44,34.12,0.15430533203125002
660.08,687.0,0.44,39.31,0.1547478324890137
