S/K,Maturity,Volatility,Rate,Labels,Prices,Strikes,Weight_0,Weight_1,Weight_2
1.048926769981503,0.0027397260273972603,1.0000000000000003e-05,0.01,344.31,6734.10986328125,6420.0,1.0,0.0,0.0
1.048110484557393,0.0027397260273972603,1.0000000000000003e-05,0.01,364.56,6734.10986328125,6425.0,1.0,0.0,0.0
1.0472954686284992,0.0027397260273972603,1.0000000000000003e-05,0.01,383.32,6734.10986328125,6430.0,1.0,0.0,0.0
1.0456692334287656,0.0027397260273972603,1.0000000000000003e-05,0.01,415.4,6734.10986328125,6440.0,1.0,0.0,0.0
1.0440480408187984,0.0027397260273972603,1.0000000000000003e-05,0.01,306.68,6734.10986328125,6450.0,1.0,0.0,0.0
1.0424318673809985,0.0027397260273972603,1.0000000000000003e-05,0.01,399.47,6734.10986328125,6460.0,1.0,0.0,0.0
1.0408206898425425,0.0027397260273972603,1.0000000000000003e-05,0.01,385.75,6734.10986328125,6470.0,1.0,0.0,0.0
1.039214485074267,0.0027397260273972603,1.0000000000000003e-05,0.01,379.69,6734.10986328125,6480.0,1.0,0.0,0.0
1.0360169020432692,0.0027397260273972603,1.0000000000000003e-05,0.01,255.77,6734.10986328125,6500.0,1.0,0.0,0.0
1.0328389360860812,0.0027397260273972603,1.0000000000000003e-05,0.01,194.24,6734.10986328125,6520.0,1.0,0.0,0.0
1.032047488625479,0.0027397260273972603,1.0000000000000003e-05,0.01,293.15,6734.10986328125,6525.0,1.0,0.0,0.0
1.0312572531824273,0.0027397260273972603,1.0000000000000003e-05,0.01,288.35,6734.10986328125,6530.0,1.0,0.0,0.0
1.0281083760734733,0.0027397260273972603,1.0000000000000003e-05,0.01,194.63,6734.10986328125,6550.0,1.0,0.0,0.0
1.0265411376953124,0.0027397260273972603,1.0000000000000003e-05,0.01,203.8,6734.10986328125,6560.0,1.0,0.0,0.0
1.02419921875,0.0027397260273972603,1.0000000000000003e-05,0.01,281.64,6734.10986328125,6575.0,1.0,0.0,0.0
1.0234209518664514,0.0027397260273972603,1.0000000000000003e-05,0.01,230.7,6734.10986328125,6580.0,1.0,0.0,0.0
1.0218679610441959,0.0027397260273972603,1.0000000000000003e-05,0.01,113.24,6734.10986328125,6590.0,1.0,0.0,0.0
1.0210932317333208,0.0027397260273972603,1.0000000000000003e-05,0.01,110.08,6734.10986328125,6595.0,1.0,0.0,0.0
1.0203196762547349,0.0027397260273972603,1.0000000000000003e-05,0.01,136.0,6734.10986328125,6600.0,1.0,0.0,0.0
1.0195472919426571,0.0027397260273972603,1.0000000000000003e-05,0.01,133.28,6734.10986328125,6605.0,1.0,0.0,0.0
1.0187760761393723,0.0027397260273972603,0.11988184814453123,0.01,87.7,6734.10986328125,6610.0,1.0,0.0,0.0
1.0180060261952002,0.0027397260273972603,0.13501841552734378,0.01,93.13,6734.10986328125,6615.0,1.0,0.0,0.0
1.0172371394684667,0.0027397260273972603,0.13910773010253907,0.01,158.89,6734.10986328125,6620.0,1.0,0.0,0.0
1.0164694133254717,0.0027397260273972603,0.14795773925781253,0.01,130.82,6734.10986328125,6625.0,1.0,0.0,0.0
1.01570284514046,0.0027397260273972603,0.1524742956542969,0.01,138.69,6734.10986328125,6630.0,1.0,0.0,0.0
1.0149374322955915,0.0027397260273972603,0.15543447113037112,0.01,125.3,6734.10986328125,6635.0,1.0,0.0,0.0
1.014173172180911,0.0027397260273972603,0.1572655075073242,0.01,87.78,6734.10986328125,6640.0,1.0,0.0,0.0
1.013410062194319,0.0027397260273972603,0.16010361389160155,0.01,104.75,6734.10986328125,6645.0,1.0,0.0,0.0
1.0126480997415415,0.0027397260273972603,0.16280439254760742,0.01,120.3,6734.10986328125,6650.0,1.0,0.0,0.0
1.0118872822361007,0.0027397260273972603,0.16291120300292972,0.01,111.1,6734.10986328125,6655.0,1.0,0.0,0.0
